artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,artist_id,genres,release_year,region,era
Mobb Deep,The Infamous,Survival of the Fittest,7N1Vjtzr1lmmCW9iasQ8YO,0.813,0.703,11,-5.077,0,0.268,1.26e-06,0.237,0.241,94.828,224533,4,75,1995-04-25,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",1995,East,90s
Nas,Illmatic,Represent,6DPrhGVJ1WTZvM9fKptnGe,0.708,0.832,1,-4.964,1,0.318,2.8e-06,0.189,0.618,92.428,252600,4,76,1994-04-19,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",1994,East,90s
Gang Starr,Hard To Earn,Mass Appeal,3lGBvPUgO7MJltUnBlOpe9,0.808,0.726,10,-8.435,0,0.252,0.276,0.129,0.616,96.12,221027,4,61,1994-03-08,5cMgGlA1xGyeAB2ctYlRdZ,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",1994,East,90s
Big L,Lifestylez Ov Da Poor & Dangerous,Put It On,6JI5wNWYdBw68GZjOMmgK5,0.711,0.62,11,-10.174,0,0.212,0.0,0.134,0.805,179.817,217627,4,64,1995-03-28,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",1995,Other,90s
Sheek Louch,Silverback Gorilla,Lottery (Skit),6VjF67azNjUtShTy0Eaz12,0.393,0.641,6,-17.791,1,0.453,0.0,0.508,0.87,118.15,31347,4,37,2008-03-18,14ejEUaU0wE2iAenbbv9b8,['hardcore hip hop'],2008,Other,00s
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",119c93MHjrDLJTApCVGpvx,0.479,0.549,11,-10.551,0,0.373,0.0235,0.127,0.576,180.985,252187,4,77,1993-11-09,34EP7KEpOjXcM2TCat1ISk,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1993,East,90s
GZA,Liquid Swords,Shadowboxin',7bp5DfkdK1OAvNJ1U4HfDA,0.704,0.642,1,-10.11,1,0.39,1.43e-06,0.161,0.72,92.09,209973,4,66,1995-11-07,6ns6XAOsw4B0nDUIovAOUO,"['east coast hip hop', 'hardcore hip hop']",1995,East,90s
Ol' Dirty Bastard,Return to the 36 Chambers: The Dirty Version,Shimmy Shimmy Ya,3ABG1UQTk0eLYUAeWkmfMi,0.814,0.481,0,-5.183,1,0.245,3.83e-05,0.0495,0.193,96.252,161400,4,65,1995-01-01,50NoVNy9GU1lCrDV8iGpyu,"['east coast hip hop', 'hardcore hip hop', 'hip hop']",1995,East,90s
The Notorious B.I.G.,Ready to Die (The Remaster),Who Shot Ya? - 2005 Remaster,2KFg8kjYy0rYjWsXGhEQHN,0.831,0.682,7,-5.697,1,0.238,0.0,0.494,0.6,91.771,319360,4,81,1994-09-13,5me0Irg2ANcsgc93uaYrpb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1994,East,90s
Big Pun,Capital Punishment (Explicit Version),You Ain't a Killer,14Ai4sTxWbQpNymhpQKuES,0.724,0.887,6,-7.076,1,0.393,0.0,0.112,0.745,90.945,254867,4,71,1998-04-28,2Xu7q46Hf02xOoEIm4E1Qs,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']",1998,East,90s
Method Man,Blackout!,Da Rockwilder,4anqYZt4APNlFwQixpbdZR,0.612,0.659,6,-6.995,0,0.406,0.0,0.417,0.393,99.137,136093,4,64,1999-01-01,4VmEWwd8y9MCLwexFMdpwt,"['east coast hip hop', 'hardcore hip hop', 'hip hop']",1999,East,90s
Mobb Deep,The Infamous,"Shook Ones, Pt. II",33ZXjLCpiINn8eQIDYEPTD,0.763,0.786,10,-6.472,0,0.229,0.0114,0.0817,0.504,93.857,325507,4,75,1995-04-25,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",1995,East,90s
Nas,Illmatic,N.Y. State of Mind,0trHOzAhNpGCsGBEu7dOJo,0.665,0.91,6,-4.682,0,0.223,0.0,0.227,0.887,84.099,293973,4,76,1994-04-19,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",1994,East,90s
Redman,Whut? Thee Album,News Break,6hKrGJuc2vcw4ua117V3am,0.562,0.746,11,-15.505,1,0.348,6.89e-05,0.175,0.841,144.29,37640,5,57,1992-09-22,7xTKLpo7UCzXSnlH7fOIoM,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']",1992,East,90s
Big L,Lifestylez Ov Da Poor & Dangerous,MVP,5LN1B9uVAVleCZ2euGarvi,0.857,0.672,10,-5.934,0,0.16,0.0,0.355,0.671,86.777,218867,4,64,1995-03-28,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",1995,Other,90s
Raekwon,Only Built 4 Cuban Linx...,Knowledge God,2q5rCHN0AciKiTZ864rNP4,0.592,0.464,1,-8.422,1,0.39,0.000395,0.0852,0.475,180.275,264533,4,63,1995-01-01,2yQf6b8hxahZaT5dHlWaB1,"['east coast hip hop', 'hardcore hip hop']",1995,East,90s
Wu-Tang Clan,Wu-Tang Forever,"As High as Wu-Tang Get (feat. Ol' Dirty Bastard, GZA & Method Man)",1XbqOF6nx3tJsyQjXRh9ux,0.823,0.561,7,-7.33,1,0.322,7.76e-05,0.142,0.561,91.979,158133,4,67,1997-06-03,34EP7KEpOjXcM2TCat1ISk,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1997,East,90s
GZA,Liquid Swords,Duel Of The Iron Mic,1OYjATyA5kqLK3CfYfvg3y,0.715,0.658,0,-5.232,1,0.288,0.0,0.323,0.25,91.003,246227,4,66,1995-11-07,6ns6XAOsw4B0nDUIovAOUO,"['east coast hip hop', 'hardcore hip hop']",1995,East,90s
Ol' Dirty Bastard,Return to the 36 Chambers: The Dirty Version,Brooklyn Zoo,2FWmKZ3kNbVsKGhuNHsltW,0.704,0.701,2,-8.031,1,0.46,0.0,0.664,0.618,92.032,217507,4,65,1995-01-01,50NoVNy9GU1lCrDV8iGpyu,"['east coast hip hop', 'hardcore hip hop', 'hip hop']",1995,East,90s
The Notorious B.I.G.,Ready to Die (The Remaster),Warning - 2005 Remaster,33rsCCLHklTQav9klbpnAi,0.596,0.791,11,-7.582,0,0.476,1.42e-05,0.136,0.399,171.919,220440,4,81,1994-09-13,5me0Irg2ANcsgc93uaYrpb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1994,East,90s
Capone-N-Noreaga,The War Report,"L.A., L.A. - Kuwait Mix",4NuzPdAt2PLIomz0341at5,0.641,0.753,6,-6.169,0,0.333,5.69e-06,0.379,0.541,175.311,289667,4,55,1997-06-17,6KVPfr3ujUkKOrJf4QeRWD,"['east coast hip hop', 'queens hip hop']",1997,East,90s
Big Pun,Capital Punishment (Explicit Version),Twinz (feat. Fat Joe),0B8drtTSp68pZdkmVrG9ZA,0.633,0.764,0,-7.212,1,0.323,3.4e-06,0.234,0.522,94.971,228173,4,71,1998-04-28,2Xu7q46Hf02xOoEIm4E1Qs,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']",1998,East,90s
Mobb Deep,The Infamous,Give Up the Goods (Just Step) (feat. Big Noyd),61VlApj8p2ZaP0WTunTrKT,0.782,0.597,1,-6.399,1,0.335,0.0,0.582,0.528,94.631,243133,4,75,1995-04-25,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",1995,East,90s
Nas,Illmatic,The World Is Yours,7G3lxTsMfSx4yarMkfgnTC,0.678,0.794,10,-6.186,0,0.14,1.68e-06,0.124,0.54,87.374,290573,4,76,1994-04-19,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",1994,East,90s
The LOX,"Money, Power & Respect","Money, Power & Respect (feat. DMX & Lil' Kim)",3MbBa8FMMgp9D39s7Cozl9,0.706,0.747,9,-3.901,0,0.286,0.0,0.204,0.505,95.547,270493,4,52,1998-01-13,0A7g2YbCA9FlyZvAG6VmKP,"['east coast hip hop', 'hardcore hip hop']",1998,East,90s
Big L,The Big Picture,98 Freestyle,1xh765BZClrRAbTAufs9Kt,0.608,0.59,1,-12.1,0,0.753,0.0,0.327,0.907,175.763,129693,4,65,2000-06-11,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",2000,Other,00s
Rakim,The 18th Letter / The Book Of Life,Guess Who's Back,5czjjnbTatyFal33a9h1aN,0.796,0.798,6,-7.456,0,0.262,0.0,0.106,0.692,94.016,250907,4,57,1996-11-04,6jHG1YQkqgojdEzerwvrVv,"['bboy', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop']",1996,East,90s
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",24vNw0Z0srb4zYXwrakw8E,0.826,0.566,10,-10.747,0,0.311,0.0,0.356,0.655,99.131,216133,4,77,1993-11-09,34EP7KEpOjXcM2TCat1ISk,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1993,East,90s
GZA,Beneath The Surface,Skit #1,66J1GKBy3tJxUIKmhj0Aot,0.52,0.418,5,-16.427,0,0.155,1.14e-05,0.602,0.171,88.627,37427,4,55,1999-06-29,6ns6XAOsw4B0nDUIovAOUO,"['east coast hip hop', 'hardcore hip hop']",1999,East,90s
Gang Starr,Moment Of Truth,You Know My Steez,2C3QwVE5adFCVsCqayhPW7,0.695,0.674,8,-7.014,1,0.364,0.0,0.282,0.887,179.58,247627,4,70,1998-03-31,5cMgGlA1xGyeAB2ctYlRdZ,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",1998,East,90s
The Notorious B.I.G.,Ready to Die (The Remaster),Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,0.889,0.818,9,-4.639,1,0.253,0.0,0.179,0.782,96.063,302760,4,81,1994-09-13,5me0Irg2ANcsgc93uaYrpb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1994,East,90s
AZ,Doe Or Die,Ho Happy Jackie,67CEjUtWIM2xJGtti871qk,0.738,0.575,9,-11.951,1,0.22,0.0,0.344,0.778,90.109,214640,4,54,1995-10-10,0ZCO8oVkMj897cKgFH7fRW,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",1995,Other,90s
A Tribe Called Quest,The Low End Theory,Check the Rhime,4HfxDJ0uLHTLe0fZrx0MbQ,0.881,0.361,11,-14.728,0,0.237,0.00458,0.246,0.799,96.43,216693,4,69,1991-09-24,09hVIj6vWgoCDtT03h8ZCa,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",1991,East,90s
Mobb Deep,The Infamous,Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon),0T2AYQdV9KRC8y8FC1jKq4,0.644,0.548,10,-4.936,0,0.349,0.0,0.0453,0.262,169.884,288307,4,75,1995-04-25,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",1995,East,90s
Nas,It Was Written,Street Dreams,0QnGI4OgY8ReggLWvEXdgD,0.752,0.611,11,-8.681,0,0.315,0.0,0.778,0.746,90.993,279933,4,71,1996-07-02,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",1996,East,90s
Capone-N-Noreaga,The War Report,Halfway Thugs,1oAfkfN23fNfbfJNfQy5iS,0.778,0.8,1,-3.339,1,0.331,0.0,0.368,0.534,91.11,193227,4,55,1997-06-17,6KVPfr3ujUkKOrJf4QeRWD,"['east coast hip hop', 'queens hip hop']",1997,East,90s
Big L,The Big Picture,Flamboyant,4sw7D73E8KHAZVQxRNJArP,0.844,0.676,11,-9.791,1,0.233,0.0,0.113,0.9,93.927,187093,4,65,2000-06-11,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",2000,Other,00s
Raekwon,Only Built 4 Cuban Linx...,"Wu-Gambinos (feat. Ghostface Killah, Method Man, RZA & Masta Killa) - Hidden Chambers Remix",5byHoShbSK7mxLGDQZli9J,0.706,0.687,9,-4.301,0,0.34,0.000162,0.083,0.493,99.034,339507,4,63,1995-01-01,2yQf6b8hxahZaT5dHlWaB1,"['east coast hip hop', 'hardcore hip hop']",1995,East,90s
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",1Sgj10byiGzPpI2IrXSFEn,0.817,0.552,8,-10.8,0,0.385,7.01e-06,0.826,0.808,102.011,291067,4,77,1993-11-09,34EP7KEpOjXcM2TCat1ISk,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1993,East,90s
GZA,Liquid Swords,Liquid Swords,4dmh3OPtAhbEybhGoOG9TE,0.798,0.624,7,-7.249,1,0.391,1.01e-05,0.34,0.347,89.02,270800,4,66,1995-11-07,6ns6XAOsw4B0nDUIovAOUO,"['east coast hip hop', 'hardcore hip hop']",1995,East,90s
Gang Starr,Moment Of Truth,Above The Clouds,3ZBSXNYdTZVaBUQI3E2rF6,0.462,0.944,8,-2.938,1,0.315,0.000149,0.367,0.65,172.33,221627,4,70,1998-03-31,5cMgGlA1xGyeAB2ctYlRdZ,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",1998,East,90s
The Notorious B.I.G.,Ready to Die (The Remaster),Machine Gun Funk - 2006 Remaster,2bXI4Rbw1D7aVeHWLjn1Lb,0.841,0.738,4,-5.325,0,0.3,0.0235,0.0901,0.305,93.725,255893,4,81,1994-09-13,5me0Irg2ANcsgc93uaYrpb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1994,East,90s
DMX,It's Dark And Hell Is Hot,Ruff Ryders' Anthem,1BKT2I9x4RGKaKqW4up34s,0.88,0.577,10,-8.093,0,0.302,1.02e-06,0.201,0.74,90.991,214440,4,70,1998-05-01,1HwM5zlC5qNWhJtM00yXzG,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1998,East,90s
Mos Def,Black On Both Sides,Ms. Fat Booty,0IVAlb0cFCH1cQ974iR1TU,0.782,0.589,1,-4.827,1,0.189,0.0,0.164,0.869,90.438,223547,4,69,1999-10-12,0Mz5XE0kb1GBnbLQm2VbcO,"['conscious hip hop', 'east coast hip hop', 'hip hop']",1999,East,90s
Mobb Deep,Hell On Earth,Hell on Earth (Front Lines),1RjU7UhRICmdFPKxCucLgq,0.875,0.658,0,-3.641,1,0.359,0.0,0.122,0.661,92.038,274093,4,62,1996-11-19,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']",1996,East,90s
Nas,Illmatic,One Time 4 Your Mind,3p50PUgtBHM6rwUuD3RfFV,0.823,0.547,4,-6.928,0,0.298,0.0,0.229,0.481,77.791,198800,4,76,1994-04-19,20qISvAhX20dpIbOOzGK3q,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",1994,East,90s
Big Pun,Capital Punishment (Explicit Version),I'm Not a Player,0JyfYLKuXRmPhMkIPVstu5,0.721,0.723,4,-4.429,0,0.239,0.00108,0.4,0.542,94.744,221427,4,71,1998-04-28,2Xu7q46Hf02xOoEIm4E1Qs,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']",1998,East,90s
Big L,Lifestylez Ov Da Poor & Dangerous,"No Endz, No Skinz",2io3tr0HmXMIGY06xnWb0J,0.938,0.773,1,-6.804,1,0.231,0.000761,0.182,0.716,100.305,208733,4,64,1995-03-28,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",1995,Other,90s
Ghostface Killah,Supreme Clientele,Mighty Healthy,2HvCL8hgJoHrrGAZEjQ3mM,0.644,0.946,9,-6.674,0,0.406,1.59e-06,0.307,0.53,88.828,201693,4,52,2000-02-08,6FD0unjzGQhX3b6eMccMJe,"['east coast hip hop', 'hardcore hip hop']",2000,East,00s
Wu-Tang Clan,Wu-Tang Forever,"Visionz (feat. Method Man, Raekwon, Masta Killa, Inspectah Deck & Ghostface Killah)",3cuy0jpSxGAoTuJE0KORoR,0.776,0.596,11,-6.017,0,0.348,0.0,0.2,0.437,88.927,189267,4,67,1997-06-03,34EP7KEpOjXcM2TCat1ISk,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1997,East,90s
Kurupt,Kuruption!,We Can Freak It,2OCTC6cPRdI3Dvdb25jRDC,0.784,0.576,10,-8.171,0,0.157,0.0,0.332,0.582,99.05,250040,4,52,1998-10-06,6NyJIFHAePjHR1pFxwisqz,"['g funk', 'gangster rap', 'west coast rap']",1998,West,90s
Eazy-E,Gangsta Memorial,Real Muthaphuckkin' G's,53BZ6XygAoubR5DU5w38Vq,0.724,0.853,11,-3.895,0,0.283,0.0,0.65,0.775,170.51,332733,4,66,2007-01-01,7B4hKK0S9QYnaoqa9OuwgX,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2007,West,00s
Tha Dogg Pound,Dogg Food,Let's Play House,0CMgg7xeATgHXd9MmpO6rU,0.809,0.73,10,-5.745,0,0.0956,0.00303,0.0533,0.821,91.364,204521,4,55,1995-10-31,60CFNa0ggWjV8OSDey8aGT,"['g funk', 'west coast rap']",1995,West,90s
Ice Cube,Lethal Injection,You Know How We Do It,2Ih217RCGAmyQR68Nn7Cqo,0.747,0.52,10,-10.523,0,0.0357,0.0537,0.142,0.601,92.869,232773,4,74,1993-12-07,3Mcii5XWf6E0lrY3Uky4cA,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1993,West,90s
Mack 10,Mack 10,Foe Life,28SF0lKRqso9SSTDpbv991,0.917,0.665,8,-6.053,1,0.0924,0.0,0.196,0.808,91.082,253800,4,50,1995-01-01,3USpNaxpX1iNqNnQWqg9ob,"['g funk', 'gangster rap', 'west coast rap']",1995,West,90s
Celly Cel,Killa Kali,It's Goin' Down,6QdZhhQc4wYEi7amJKuWqu,0.83,0.491,6,-8.504,0,0.23,0.0,0.0548,0.812,75.186,324707,4,46,1996-04-30,6k7TX5dxiKZiwMWTn8ZKbl,"['g funk', 'west coast rap']",1996,West,90s
Tha Eastsidaz,Snoop Dogg Presents Tha Eastsidaz,G'd Up,1zIXpzuCC7FM4kECt2eEzu,0.908,0.763,1,-5.739,1,0.28,0.0,0.0646,0.593,97.106,273467,4,47,2000-02-01,51FyBBOW464toW099BsW8z,"['g funk', 'west coast rap']",2000,West,00s
DJ Quik,Quik Is The Name,Born and Raised In Compton,23trPalTVGb4H4CzyHrQ9W,0.733,0.442,10,-14.498,0,0.37,0.0,0.133,0.86,181.634,205560,4,52,1991-01-01,0b2XeWDPeBiLeskT6RFqMb,"['g funk', 'popping', 'west coast rap']",1991,West,90s
Suga Free,Street Gospel,I'd Rather Give You My Bitch,60N6CmRQz4f5AYECxxgK3l,0.935,0.731,11,-5.564,0,0.137,0.0,0.0506,0.766,114.007,304333,4,50,1997-01-01,7AjokpCIqf0gHMZJlodw2k,"['g funk', 'west coast rap']",1997,West,90s
2Pac,All Eyez On Me,Can't C Me,7rUchbZxrhF29Q0vYjKEU0,0.795,0.852,0,-2.238,1,0.178,3.47e-06,0.39,0.673,95.44,330760,4,84,1996-02-13,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1996,West,90s
WC,The Shadiest One,Cheddar,0ovZFLts0RrghsbOg0v4Ki,0.899,0.663,1,-3.708,1,0.334,0.0,0.0977,0.626,93.03,242507,4,44,1998-01-01,3NgwMzys77S7sgfh2W5k0V,['west coast rap'],1998,West,90s
Spice 1,Amerikkka's Nightmare,Strap On The Side,3sfAumzy0rGj6WEhuuRqz6,0.755,0.661,7,-6.173,1,0.0456,0.00365,0.131,0.61,98.011,287067,4,45,1994-11-22,4TqmaFJYM8SvuhrunxpmT3,"['g funk', 'west coast rap']",1994,West,90s
Dr. Dre,2001,Xxplosive,0Ed7MeXx64f6OcIuoTRCg1,0.765,0.88,1,-4.361,1,0.116,1e-05,0.139,0.929,168.96,215200,4,86,1999-11-16,6DPYiyq5kWVQS4RGwxzPC7,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1999,West,90s
Warren G,Regulate… G Funk Era,This D.J.,2ImuQo1g14CTR9hZAZD3aQ,0.804,0.443,6,-10.268,0,0.134,0.0225,0.112,0.58,92.035,203027,4,72,1994-06-07,2B4ZHz4QDWJTXPFPgO5peE,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",1994,West,90s
Snoop Dogg,Doggystyle,Tha Shiznit,2DhL7DtMmxmqrCUB2NAlLm,0.802,0.534,4,-7.409,0,0.0532,6.97e-06,0.182,0.722,96.789,280613,4,77,1993-11-23,7hJcb9fa4alzcOq3EaNPoG,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",1993,West,90s
Mack 10,Best Of Mack 10,Nothin' But The Cavi Hit,2rwmKpWW6o6anOhvcyiJOw,0.852,0.741,1,-5.435,0,0.134,0.00106,0.0974,0.535,97.894,241360,4,52,2007-01-01,3USpNaxpX1iNqNnQWqg9ob,"['g funk', 'gangster rap', 'west coast rap']",2007,West,00s
Tha Eastsidaz,Duces 'N Trayz: The Old Fashioned Way,"I Luv It (feat. Kokane, Sir Dogg & Snoopy Collins)",7nbH85acNzcX2WrjAHUVd3,0.889,0.713,1,-4.845,1,0.228,0.0,0.0715,0.436,102.028,298493,4,45,2001-07-31,51FyBBOW464toW099BsW8z,"['g funk', 'west coast rap']",2001,West,00s
DJ Quik,Balances & Options,Pitch In OnA Party,2hyyA7U1m1pFlZcEyl91jH,0.928,0.529,6,-6.602,1,0.253,0.0,0.0701,0.567,106.364,247120,4,49,2000-01-01,0b2XeWDPeBiLeskT6RFqMb,"['g funk', 'popping', 'west coast rap']",2000,West,00s
Luniz,Operation Stackola,I Got 5 On It,4IYKjN1DrYzxKXt0umJqsG,0.6,0.706,10,-7.899,0,0.361,0.0,0.125,0.58,173.926,253533,4,69,1995-07-04,3z3g65U7mmyyBmmDfsQK9x,"['g funk', 'oakland hip hop', 'west coast rap']",1995,West,90s
N.W.A.,The Best Of N.W.A: The Strength Of Street Knowledge,Chin Check,3vQir0wkIdLGq3Lc4V6J2y,0.906,0.775,2,-5.775,1,0.268,2.74e-05,0.15,0.838,100.054,221373,4,63,2006-12-26,4EnEZVjo3w1cwcQYePccay,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",2006,West,00s
WC,Ghetto Heisman,The Streets - Re-Twist,5a251qN4R86hro8UZGuO4E,0.92,0.811,4,-2.892,0,0.117,0.0026,0.0935,0.602,97.117,227867,4,52,2002-01-01,3NgwMzys77S7sgfh2W5k0V,['west coast rap'],2002,West,00s
Westside Connection,Terrorist Threats,Gangsta Nation,65iyI1iybyv5ecsfBHSdUf,0.843,0.7,9,-3.249,0,0.26,0.0,0.876,0.675,95.05,293053,4,63,2003-12-09,3zNM2tRfTX6LI1lN2PlrTt,"['g funk', 'gangster rap', 'west coast rap']",2003,West,00s
Ice Cube,Death Certificate,No Vaseline,4wEbikMfcSFAukCbbL06si,0.575,0.927,4,-5.511,0,0.395,0.0,0.0623,0.473,105.567,313547,4,64,1991-10-29,3Mcii5XWf6E0lrY3Uky4cA,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1991,West,90s
Suga Free,Street Gospel,If U Stay Ready,4PELGGXS8Qhih8OEuTXY48,0.701,0.688,4,-5.66,0,0.211,0.0,0.0384,0.445,97.683,287027,4,50,1997-01-01,7AjokpCIqf0gHMZJlodw2k,"['g funk', 'west coast rap']",1997,West,90s
Spice 1,Hits II,I Got Five On It Remix,5ZY9x3X2CujeJc59pJ9EUV,0.539,0.584,10,-10.616,0,0.335,0.0,0.198,0.674,86.441,254560,4,47,2001-11-13,4TqmaFJYM8SvuhrunxpmT3,"['g funk', 'west coast rap']",2001,West,00s
Mack 10,Bang Or Ball,Connected For Life,3AHduOpEg5sb3Z6h7urFdK,0.89,0.696,2,-7.166,1,0.259,1.98e-06,0.1,0.761,94.833,263827,4,47,2001-01-01,3USpNaxpX1iNqNnQWqg9ob,"['g funk', 'gangster rap', 'west coast rap']",2001,West,00s
Dr. Dre,2001,What's The Difference,1SWVDBtw6h3tm9OehOkDhv,0.772,0.821,11,-0.14,0,0.25,0.0,0.148,0.77,91.921,244200,4,86,1999-11-16,6DPYiyq5kWVQS4RGwxzPC7,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1999,West,90s
Eazy-E,Eazy-Duz-It,Eazy-Duz-It,1ohwrBQrxIlqMYfkoYERiN,0.827,0.728,2,-3.912,1,0.307,0.0,0.237,0.692,90.872,259493,4,70,1988-09-13,7B4hKK0S9QYnaoqa9OuwgX,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1988,West,70s-80s
DJ Quik,Safe + Sound,Safe + Sound,5HP2cXsmqmSRkJuVjyMWVW,0.829,0.684,6,-8.058,1,0.151,0.00202,0.374,0.765,95.29,288667,4,52,1995-01-01,0b2XeWDPeBiLeskT6RFqMb,"['g funk', 'popping', 'west coast rap']",1995,West,90s
Above The Law,Uncle Sam's Curse,Black Superman,4ptJmZRriw38WVG9mrW5nT,0.707,0.662,0,-7.523,1,0.262,1.64e-06,0.0743,0.0879,87.572,267094,4,40,1994-07-12,1YStXHRj5phGb2LGCudZ6N,"['g funk', 'west coast rap']",1994,West,90s
2Pac,All Eyez On Me,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),6LwrEZNkvFTOypNwSLjuaJ,0.849,0.904,8,-4.78,1,0.138,5.11e-05,0.0545,0.854,99.258,246533,4,84,1996-02-13,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1996,West,90s
WC,The Shadiest One,Just Clownin',2usvuw8giHNlrFq2onEw74,0.941,0.605,11,-3.11,0,0.287,2.33e-06,0.165,0.607,96.1,239467,4,44,1998-01-01,3NgwMzys77S7sgfh2W5k0V,['west coast rap'],1998,West,90s
Snoop Dogg,Doggystyle,Gin and Juice,39QBkWKnap8wRSW4WB9OK0,0.603,0.762,4,-7.744,0,0.285,1.53e-05,0.478,0.379,94.726,211867,4,77,1993-11-23,7hJcb9fa4alzcOq3EaNPoG,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",1993,West,90s
