artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,artist_id,genres,release_year,region,era
dj honda,Travellin' Man (Remastered),Travellin' Man (Remastered),5BAwVGuohBVscZWyoLCkkG,0.651,0.836,10,-6.291,0,0.199,0.000238,0.172,0.796,91.079,318573,4,48,2009-06-22,7mrvU3OShTgthJV80o2day,"['japanese boom bap', 'japanese underground rap', 'scratch', 'turntablism']",2009,Other,00s
Jedi Mind Tricks,Violence Begets Violence,Design in Malice,6Z9syPcYlnUvpMgmjQydIG,0.358,0.94,7,-4.274,0,0.164,0.00779,0.0851,0.497,90.233,218293,4,49,2011-10-25,0PI3pXpUMScjweiw3IbADc,"['conscious hip hop', 'philly rap', 'political hip hop']",2011,East,Current
Deltron 3030,Deltron 3030,Mastermind,0uMn8WKu3qtQLaUyal1bsz,0.741,0.657,0,-9.589,0,0.0374,0.00756,0.0825,0.25,94.211,214307,4,55,2000-01-01,2efzHZrUGhawnSOTpyAHOQ,"['afrofuturism', 'alternative hip hop', 'hip hop', 'psychedelic hip hop']",2000,Other,00s
Afu-Ra,Body Of The Life Force,Whirlwind Thru Cities,3uDa49zGfJFVXdBk9L5uQs,0.842,0.858,10,-3.731,0,0.253,5.78e-06,0.475,0.736,90.312,239413,4,52,2000-10-24,6SWohEYYTym0RIBxvoh6wt,['east coast hip hop'],2000,East,00s
Necro,I Need Drugs,Your Fuckin’ Head Split,1WkJbf3RsZCtPUvxM8AdN9,0.927,0.728,9,-7.391,0,0.215,0.0,0.108,0.598,97.91,182907,4,50,2000-01-01,51vjIMmHWyVqDrkxD07Jh7,['horrorcore'],2000,Other,00s
Slum Village,J-88,"The Look of Love, Pt. 1",3gTTDjDha02XJ4xuS2KF0e,0.873,0.586,7,-5.184,1,0.241,0.0,0.0849,0.533,92.907,218080,4,46,2009-04-15,1020a42xVklY6c56imNcaa,"['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop']",2009,Midwest,00s
J Dilla,The Shining,Won't Do,5IYzq28hEwrCRFDvQRFFpM,0.776,0.706,1,-5.33,1,0.253,0.0,0.0985,0.598,94.12,232533,4,54,2006-08-21,0IVcLMMbm05VIjnzPkGCyp,"['alternative hip hop', 'detroit hip hop', 'hip hop', 'instrumental hip hop']",2006,Midwest,00s
Talib Kweli,"Train of Thought: Lost Lyrics, Rare Releases & Beautiful B-Sides, Vol. 1",2000 Seasons,5fAacciZPmLLFrr8RZ5fvn,0.767,0.734,10,-4.297,0,0.355,0.0,0.923,0.846,93.108,253068,4,48,2015-07-21,0lEssBAxQl2In4RpaB1C2Y,"['conscious hip hop', 'east coast hip hop', 'hip hop']",2015,East,Current
Jedi Mind Tricks,The Torture Papers,Battle Cry,3iZc0giQC5ySLgbJ6gQFEl,0.594,0.913,11,-4.545,0,0.294,0.000191,0.284,0.735,92.038,366067,4,49,2006-03-21,0PI3pXpUMScjweiw3IbADc,"['conscious hip hop', 'philly rap', 'political hip hop']",2006,East,00s
De La Soul,The Grind Date,Much More (feat. Yummy),5zEP0MRnDe5qwL361xBz0B,0.676,0.777,2,-4.459,1,0.171,0.0,0.262,0.372,92.687,245493,4,56,2004-10-05,1Z8ODXyhEBi3WynYw0Rya6,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",2004,East,00s
Masta Ace,A Long Hot Summer,Good Ol Love,1RZwfy4hD9ixk4XcIQpyW1,0.61,0.75,1,-5.811,1,0.146,0.0,0.946,0.627,95.048,226867,4,50,2004-08-03,1wo9h8DP7M0M1orKuGZgWv,['east coast hip hop'],2004,East,00s
J Dilla,Donuts,Workinonit,33T6ABvdB3P2iYOWJnBjsQ,0.651,0.695,11,-7.497,0,0.244,0.498,0.585,0.543,92.981,177120,4,67,2006-02-07,0IVcLMMbm05VIjnzPkGCyp,"['alternative hip hop', 'detroit hip hop', 'hip hop', 'instrumental hip hop']",2006,Midwest,00s
Lootpack,Soundpieces: Da Antidote,Whenimondamic,1zAFB2woHMnip3O0WJJA41,0.616,0.711,2,-6.841,1,0.342,0.0,0.615,0.659,97.302,165693,4,51,1999-04-06,2D0NqDyt2R9RVar9MNs8kP,"['alternative hip hop', 'bboy']",1999,Other,90s
Binary Star,Masters of the Universe,Reality Check,66YJddDOMyb9oj7vqI9CqU,0.712,0.483,11,-12.122,0,0.298,0.0,0.655,0.717,90.1,241395,4,44,2017-06-02,1bulNj9KHvx8haqJBFDSyz,"['alternative hip hop', 'conscious hip hop']",2017,Other,Current
The High & Mighty,Home Field Advantage,B-Boy Document '99,5WF9Ih0si21Anj48dD9FFN,0.865,0.7,2,-5.33,1,0.293,0.0,0.283,0.738,93.143,234760,4,43,1999-08-24,4hJpETVqz3jIrAH1WUzGEj,"['philly rap', 'turntablism']",1999,East,90s
Blackalicious,Nia,Deception,2R0MySb9tgrWIv2mttYAYR,0.624,0.765,0,-9.492,1,0.25,0.159,0.372,0.438,158.28,311760,4,44,1999-08-30,42Np3r8zXnaKcjLQsQSjyG,"['alternative hip hop', 'hip hop']",1999,Other,90s
The Roots,Things Fall Apart,100% Dundee,63J9sQnp8NxLuOgeqgAS6O,0.629,0.904,6,-6.189,0,0.344,0.0,0.261,0.721,99.73,233493,4,63,1999-02-23,78xUyw6FkVZrRAtziFdtdu,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']",1999,East,90s
Masta Ace,Disposable Arts,Take a Walk,5zcRPNrvp8agDQbBMewzRt,0.704,0.668,6,-7.69,1,0.349,1.19e-06,0.951,0.502,73.66,307133,4,48,2005-02-15,1wo9h8DP7M0M1orKuGZgWv,['east coast hip hop'],2005,East,00s
Talib Kweli,"Train of Thought: Lost Lyrics, Rare Releases & Beautiful B-Sides, Vol. 1",Fortfied Live,3oFn11Yah34EHZMEZY7FlL,0.507,0.838,8,-4.955,0,0.358,0.0,0.232,0.748,80.562,311040,4,48,2015-07-21,0lEssBAxQl2In4RpaB1C2Y,"['conscious hip hop', 'east coast hip hop', 'hip hop']",2015,East,Current
Living Legends,Classic,Never Fallin',37xInDwVQ0Z01t0a5ETb8z,0.76,0.633,1,-4.342,1,0.226,6.11e-06,0.128,0.492,91.113,322960,4,39,2005-03-08,0E4UA1bttJjSFNgAkLyQuo,"['abstract hip hop', 'alternative hip hop', 'underground rap']",2005,Other,00s
Lootpack,Soundpieces: Da Antidote,Answers,62XG3j3pMiIkHZxybltx4g,0.606,0.663,7,-7.239,1,0.378,0.222,0.227,0.517,85.7,283600,4,51,1999-04-06,2D0NqDyt2R9RVar9MNs8kP,"['alternative hip hop', 'bboy']",1999,Other,90s
Lil Wayne,Tha Carter III,A Milli,6ScJMrlpiLfZUGtWp4QIVt,0.674,0.695,6,-8.636,0,0.278,0.00202,0.194,0.773,151.486,221840,4,74,2008-06-10,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2008,South,00s
Noreaga,N.O.R.E,Superthug,2FaZoB6xQohJKWmq8KlYke,0.845,0.921,7,-4.711,1,0.188,9.77e-06,0.0419,0.363,95.838,300360,4,54,1998-07-07,2GqgiChw79vIYobk2zJFsO,[],1998,Other,90s
DMX,It's Dark And Hell Is Hot,Stop Being Greedy,6904O7JrAxFybd4yu3Sz2V,0.689,0.703,10,-5.986,0,0.206,0.0,0.154,0.139,101.492,216907,4,70,1998-05-01,1HwM5zlC5qNWhJtM00yXzG,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",1998,East,90s
2Pac,Greatest Hits,California Love - Original Version,3ia3dJETSOllPsv3LJkE35,0.763,0.85,7,-3.052,1,0.0417,1.21e-06,0.371,0.761,91.519,284907,4,84,1998-01-01,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",1998,West,90s
Queen Latifah,Black Reign,U.N.I.T.Y.,4OxXBAN51tjVBEjSwuWWbv,0.679,0.468,4,-11.768,0,0.386,1.46e-06,0.203,0.503,94.126,250840,4,49,1993-11-16,5m7wCUhYhBh7A3A3YMxrbt,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'new jersey rap']",1993,East,90s
JAY-Z,The Blueprint 3,Run This Town,7LR85XLWw2yXqKBSI5brbG,0.632,0.924,1,-1.802,1,0.29,0.0,0.263,0.441,86.844,267520,4,81,2009-09-08,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",2009,East,00s
De La Soul,Stakes Is High,Stakes Is High,135z3i5CjKr3H4BCT4lGPg,0.646,0.792,1,-5.949,1,0.426,5.21e-06,0.957,0.807,92.264,330408,4,45,1996-07-02,1Z8ODXyhEBi3WynYw0Rya6,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",1996,East,90s
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.0,0.124,0.446,155.008,312820,4,89,2018-08-03,0Y5tJX1MQlPlqiwlOH1tJY,"['hip hop', 'rap', 'slap house']",2018,Other,Current
Grandmaster Flash & The Furious Five,The Message,The Message (feat. Melle Mel & Duke Bootee),5DuTNKFEjJIySAyJH1yNDU,0.947,0.607,10,-10.58,0,0.202,4.76e-06,0.0861,0.732,100.619,431800,4,47,1982-10-01,5hQCwevTf03u1rECrRMeop,"['bronx hip hop', 'old school hip hop']",1982,East,70s-80s
Camp Lo,Uptown Saturday Night,Luchini AKA This Is It,20DcrlNK0NcRknbX4wcEO4,0.721,0.949,6,-5.685,1,0.278,0.0,0.327,0.835,83.028,240093,4,56,1997-01-28,6FlOCziOXI157pvUREAh3E,"['pov: indie', 'welsh indie', 'welsh rock']",1997,Other,90s
Meek Mill,Dreams and Nightmares (Deluxe Edition),Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,0.631,0.774,11,-2.459,1,0.3,0.0,0.281,0.44,79.745,230693,4,70,2012-10-26,20sxb77xiYeusSH8cVdatc,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2012,East,Current
TRU,True,"I'm Bout It, Bout It",362ychdHc0vMXhUE50PuoN,0.416,0.664,9,-6.687,0,0.317,0.0,0.169,0.504,75.528,332400,4,38,1995-01-01,3zmfs9cQwzJl575W1ZYXeT,['indie pop'],1995,Other,90s
Future,56 Nights,March Madness,3WcC6NH9J77xPEvj1SOL7z,0.5,0.69,8,-4.448,1,0.312,0.0,0.104,0.371,180.206,244511,3,66,2015-03-21,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2015,South,Current
JUVENILE,400 Degreez,Ha,3b0dX6Q2lxp7OX5lFt0nba,0.865,0.841,7,-5.381,1,0.225,0.0,0.0714,0.674,91.982,292333,4,62,1998-01-01,0rG0AZBscc8S8q1ahIsasI,"['bounce', 'crunk', 'dirty south rap', 'new orleans rap', 'southern hip hop', 'trap']",1998,South,90s
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",m.A.A.d city,2cDCojn6uIBM6A5xTAbl3H,0.487,0.729,2,-6.815,1,0.271,4.07e-06,0.44,0.217,91.048,350120,4,78,2012-01-01,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2012,West,Current
Goodie Mob,Soul Food,Cell Therapy,5wvxRlpUTSX9CE52yFZsIY,0.849,0.476,0,-10.479,1,0.445,0.0,0.105,0.48,83.21,277133,4,53,1995-11-06,3F2Y683ovlWT53WKCeq0oj,"['atl hip hop', 'conscious hip hop', 'dirty south rap', 'hardcore hip hop', 'old school atlanta hip hop', 'southern hip hop']",1995,South,90s
Three 6 Mafia,Da Unbreakables (Explicit Version),Ridin Spinners (feat. Lil' Flip) - Explicit Album Version,0C3bSJPeINMbo19TF9nCJx,0.787,0.948,6,-4.11,1,0.296,0.0,0.167,0.7,164.21,249933,4,48,2003-06-24,26s8LSolLfCIY88ysQbIuT,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",2003,South,00s
Chief Keef,Finally Rich,I Don't Like,1h6kgem1ai8vUgO1rZOwfB,0.742,0.844,2,-4.622,1,0.0479,0.0,0.0659,0.416,131.986,293840,4,80,2012-01-01,15iVAtD3s3FsQR4w1v6M0P,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2012,Midwest,Current
Drake,Views,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.628,2,-7.863,1,0.0551,0.00019,0.0504,0.552,134.966,267067,4,88,2016-05-06,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2016,Other,Current
Fetty Wap,679 (feat. Remy Boyz),679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.0,0.625,0.603,190.05,196693,4,68,2015-06-29,6PXS4YHDkKvl1wkIl4V8DL,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015,East,Current
Travis Scott,Rodeo (Expanded Edition),Antidote,1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,1,-5.046,1,0.032,0.000148,0.124,0.131,131.05,262693,4,81,2015-09-04,0Y5tJX1MQlPlqiwlOH1tJY,"['hip hop', 'rap', 'slap house']",2015,Other,Current
Silentó,Watch Me (Whip / Nae Nae),Watch Me (Whip / Nae Nae),5RIVoVdkDLEygELLCniZFr,0.821,0.759,8,-8.541,1,0.121,0.0,0.321,0.962,140.01,185143,4,59,2015-05-04,7juKTDFlPesGeWQ1GmjmOv,"['chicago bop', 'pinoy hip hop']",2015,Midwest,Current
Kendrick Lamar,To Pimp A Butterfly,Alright,3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.238,0.0,0.0827,0.558,110.034,219333,4,82,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2015,West,Current
suicideboys,My Liver Will Handle What My Heart Can't,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk,0.753,0.68,5,-7.092,0,0.0349,4.15e-05,0.423,0.192,105.977,145078,4,75,2015-09-21,1VPmR4DJC1PlOtd0IADAO0,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",2015,South,Current
Rae Sremmurd,SremmLife,This Could Be Us,4jTiyLlOJVJj3mCr7yfPQD,0.732,0.69,0,-4.992,0,0.134,0.0,0.116,0.758,143.072,206307,4,78,2015-01-06,7iZtZyCzp3LItcw1wtPI3D,"['melodic rap', 'mississippi hip hop', 'rap', 'trap']",2015,South,Current
Travis Scott,Rodeo (Expanded Edition),90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP,0.402,0.526,9,-6.741,0,0.0904,8.33e-06,0.105,0.312,81.404,339067,4,81,2015-09-04,0Y5tJX1MQlPlqiwlOH1tJY,"['hip hop', 'rap', 'slap house']",2015,Other,Current
Mac Miller,GO:OD AM,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,0.843,0.435,8,-8.442,1,0.178,0.0,0.147,0.19,120.058,208080,4,77,2015-09-18,4LLpKhyESsyAXpc4laK94U,"['hip hop', 'pittsburgh rap', 'rap']",2015,East,Current
G-Eazy,When It's Dark Out,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,0.756,0.674,0,-6.518,0,0.0959,0.0,0.158,0.389,111.995,251467,4,74,2015-12-04,02kJSzxNuaWGqwubyUba0Z,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",2015,West,Current
suicideboys,Now the Moon's Rising,Paris,6tO5bxNnMuh1c3cziSpecA,0.849,0.648,7,-6.188,1,0.0835,0.00636,0.0984,0.195,106.058,111020,4,74,2015-11-20,1VPmR4DJC1PlOtd0IADAO0,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",2015,South,Current
AsAP Rocky,AT.LONG.LAST.AsAP,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2N3U8uTYhjX2KwGT0pf5x0,0.394,0.661,4,-8.684,1,0.192,0.0,0.343,0.335,149.818,260987,4,80,2015-05-26,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap', 'trap']",2015,East,Current
Kodak Black,No Flockin',No Flockin',34oWbFBfGEElvgO0a5c9V4,0.943,0.595,5,-8.372,0,0.191,0.0,0.0839,0.815,117.532,165291,4,69,2015-11-13,46SHBwWsqBkxI7EeeBEQG7,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2015,South,Current
Kendrick Lamar,To Pimp A Butterfly,King Kunta,0N3W5peJUQtI4eyR6GJT5O,0.884,0.657,6,-4.569,0,0.0977,0.0,0.154,0.489,107.059,234693,4,82,2015-03-16,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2015,West,Current
Big Sean,Dark Sky Paradise,I Don't Fuck With You,7FYH5AW3bVfZHJIQpq3UOA,0.824,0.733,1,-5.474,1,0.0613,0.0,0.325,0.395,97.972,284387,4,75,2015-02-24,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2015,South,Current
Rae Sremmurd,SremmLife,Come Get Her,1Ser4X0TKttOvo8bgdytTP,0.689,0.564,2,-6.226,1,0.136,0.0,0.0721,0.123,185.023,212947,4,78,2015-01-06,7iZtZyCzp3LItcw1wtPI3D,"['melodic rap', 'mississippi hip hop', 'rap', 'trap']",2015,South,Current
Chris Brown,Fan of A Fan The Album (Expanded Edition),Ayo,0k6DnZMLoEUH8NGD5zh2SE,0.823,0.563,6,-5.095,1,0.0443,0.0,0.0851,0.682,98.031,225227,4,70,2015-02-24,7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']",2015,Other,Current
Drake,If You're Reading This It's Too Late,Energy,79XrkTOfV1AqySNjVlygpW,0.747,0.571,11,-7.916,1,0.478,0.0,0.534,0.553,172.104,181933,4,80,2015-02-12,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2015,Other,Current
AsAP Rocky,AT.LONG.LAST.AsAP,Lord Pretty Flacko Jodye 2 (LPFJ2),1j6kDJttn6wbVyMaM42Nxm,0.485,0.72,6,-5.991,1,0.127,0.0,0.0546,0.0471,207.982,126960,4,80,2015-05-26,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap', 'trap']",2015,East,Current
Meek Mill,Dreams Worth More Than Money,R.I.C.O. (feat. Drake),0Y0TOsE1q11qgbi7c5WZsG,0.727,0.599,1,-6.941,1,0.327,0.0,0.219,0.386,167.909,197133,3,71,2015-06-29,20sxb77xiYeusSH8cVdatc,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015,East,Current
mike.,This Isn't The Album,These Days,5tsI3xxDHDgzHhn30LTQNz,0.815,0.364,2,-11.158,1,0.375,3.52e-05,0.108,0.328,129.937,268566,4,64,2015-10-30,5G9kmDLg3OeUyj8KVBLzbu,"['indie pop rap', 'rhode island rap']",2015,East,Current
Travis Scott,Rodeo (Expanded Edition),Maria I'm Drunk (feat. Justin Bieber & Young Thug),6Yqmv7XJLCrQEauMbPGZSw,0.648,0.631,4,-5.662,0,0.103,0.0,0.12,0.142,105.989,349933,4,81,2015-09-04,0Y5tJX1MQlPlqiwlOH1tJY,"['hip hop', 'rap', 'slap house']",2015,Other,Current
Big Sean,Dark Sky Paradise,I Know,6rje9f1wRFJDO2iTORw0lH,0.733,0.334,1,-11.314,1,0.0811,0.0,0.116,0.267,119.935,319973,4,75,2015-02-24,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2015,South,Current
Drake,What A Time To Be Alive,Jumpman,27GmP9AWRs744SzKcpJsTZ,0.852,0.553,1,-7.286,1,0.187,0.0,0.332,0.656,142.079,205879,4,74,2015-09-20,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2015,Other,Current
"Tyler, The Creator",Cherry Bomb,SMUCKERS (feat. Lil Wayne & Kanye West),078C2jXg7XsMgW78Gfx1JA,0.427,0.849,7,-2.945,1,0.348,0.00373,0.153,0.55,79.155,334363,4,71,2015-04-13,4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']",2015,Other,Current
AsAP Rocky,AT.LONG.LAST.AsAP,LsD,4S7YHmlWwfwArgd8LfSPud,0.598,0.252,2,-15.086,1,0.0644,0.133,0.0992,0.0352,120.064,238307,4,80,2015-05-26,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'rap', 'trap']",2015,East,Current
